id,team_id,member_id,position
f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f2ddc5c0-09e4-11ee-b733-e86a648f7f2f,b2c16322-09e5-11ee-9809-e86a648f7f2f
eee899df-09e5-11ee-8230-e86a648f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f83d13a8-09e4-11ee-a61f-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eee934a6-09e5-11ee-afc6-e86a648f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f451264f-09e4-11ee-9946-e86a648f7f2f,b2c09587-09e5-11ee-9293-e86a648f7f2f
eee9cf82-09e5-11ee-9720-e86a648f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f8f76fe4-09e4-11ee-852f-e86a648f7f2f,b2c16322-09e5-11ee-9809-e86a648f7f2f
eeea77a4-09e5-11ee-9317-e86a648f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f532d1e9-09e4-11ee-bb87-e86a648f7f2f,b2c09587-09e5-11ee-9293-e86a648f7f2f
eeeb0ad6-09e5-11ee-a22c-e86a648f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f87d0a31-09e4-11ee-9873-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eeeba399-09e5-11ee-abcf-e86a648f7f2f,91a02123-09e5-11ee-be43-e86a648f7f2f,f4c8ef12-09e4-11ee-a0eb-e86a648f7f2f,b2bfc92c-09e5-11ee-9357-e86a648f7f2f
eeec6cd0-09e5-11ee-b08c-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f80151d7-09e4-11ee-9ed6-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eeed01a1-09e5-11ee-9b4f-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f72e3107-09e4-11ee-bf7e-e86a648f7f2f,b2c09587-09e5-11ee-9293-e86a648f7f2f
eeed8f71-09e5-11ee-ac31-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f92dbf33-09e4-11ee-ab0a-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eeee2507-09e5-11ee-acee-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f87d0a31-09e4-11ee-9873-e86a648f7f2f,b2c16322-09e5-11ee-9809-e86a648f7f2f
eeeebaf4-09e5-11ee-8709-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f961f587-09e4-11ee-9990-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eeef5a6c-09e5-11ee-8d9a-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f6f58698-09e4-11ee-8bb1-e86a648f7f2f,b2bfc92c-09e5-11ee-9357-e86a648f7f2f
eeeff415-09e5-11ee-a402-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f8bd1678-09e4-11ee-a39a-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eef08a09-09e5-11ee-b1c1-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f532d1e9-09e4-11ee-bb87-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eef118fd-09e5-11ee-9179-e86a648f7f2f,91a18bcc-09e5-11ee-84cb-e86a648f7f2f,f619ffe6-09e4-11ee-bfdc-e86a648f7f2f,b2bfc92c-09e5-11ee-9357-e86a648f7f2f
eef23c79-09e5-11ee-a6bd-e86a648f7f2f,91a292b3-09e5-11ee-8245-e86a648f7f2f,f686c16c-09e4-11ee-9881-e86a648f7f2f,b2c16322-09e5-11ee-9809-e86a648f7f2f
eef312e3-09e5-11ee-9104-e86a648f7f2f,91a292b3-09e5-11ee-8245-e86a648f7f2f,f92dbf33-09e4-11ee-ab0a-e86a648f7f2f,b2c09587-09e5-11ee-9293-e86a648f7f2f
eef3ac06-09e5-11ee-8a41-e86a648f7f2f,91a292b3-09e5-11ee-8245-e86a648f7f2f,f3d0f941-09e4-11ee-a4a6-e86a648f7f2f,b2c16322-09e5-11ee-9809-e86a648f7f2f
eef46412-09e5-11ee-997d-e86a648f7f2f,91a292b3-09e5-11ee-8245-e86a648f7f2f,f87d0a31-09e4-11ee-9873-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
eef523f7-09e5-11ee-b6c4-e86a648f7f2f,91a292b3-09e5-11ee-8245-e86a648f7f2f,f5ab6fb0-09e4-11ee-b663-e86a648f7f2f,b2c09587-09e5-11ee-9293-e86a648f7f2f
eef60b9e-09e5-11ee-8e27-e86a648f7f2f,91a292b3-09e5-11ee-8245-e86a648f7f2f,f961f587-09e4-11ee-9990-e86a648f7f2f,b2c229e2-09e5-11ee-80d7-e86a648f7f2f
